,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10,35,Stayed,Travel_Rarely,809,Research & Development,16,Bachelor's degree,Medical,1,14,Low,Male,84,Excellent,1,Laboratory Technician,Good,Married,2426,16479,0,Y,No,13,Great,Great,80,1,6,5,Great,5,4,0,3
11,29,Stayed,Travel_Rarely,153,Research & Development,15,College,Life Sciences,1,15,Excellent,Female,49,Good,2,Laboratory Technician,Great,Single,4193,12682,0,Y,Yes,12,Great,Excellent,80,0,10,3,Great,9,5,0,8
12,31,Stayed,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,1,16,Low,Male,31,Great,1,Research Scientist,Great,Divorced,2911,15170,1,Y,No,17,Great,Excellent,80,1,5,1,Good,5,2,4,3
13,34,Stayed,Travel_Rarely,1346,Research & Development,19,College,Medical,1,18,Good,Male,93,Great,1,Laboratory Technician,Excellent,Divorced,2661,8758,0,Y,No,11,Great,Great,80,1,3,2,Great,2,2,1,2
14,28,Churned,Travel_Rarely,103,Research & Development,24,Bachelor's degree,Life Sciences,1,19,Great,Male,50,Good,1,Laboratory Technician,Great,Single,2028,12947,5,Y,Yes,14,Great,Good,80,0,6,4,Great,4,2,0,3
15,29,Stayed,Travel_Rarely,1389,Research & Development,21,Master's degree,Life Sciences,1,20,Good,Female,51,Excellent,3,Manufacturing Director,Low,Divorced,9980,10195,1,Y,No,11,Great,Great,80,1,10,1,Great,10,9,8,8
16,32,Stayed,Travel_Rarely,334,Research & Development,5,College,Life Sciences,1,21,Low,Male,80,Excellent,1,Research Scientist,Good,Divorced,3298,15053,0,Y,Yes,12,Great,Excellent,80,2,7,5,Good,6,2,0,5
17,22,Stayed,Non-Travel,1123,Research & Development,16,College,Medical,1,22,Excellent,Male,96,Excellent,1,Laboratory Technician,Excellent,Divorced,2935,7324,1,Y,Yes,13,Great,Good,80,2,1,2,Good,1,0,0,0
18,53,Stayed,Travel_Rarely,1219,Sales,2,Master's degree,Life Sciences,1,23,Low,Female,78,Good,4,Manager,Excellent,Married,15427,22021,2,Y,No,16,Great,Great,80,0,31,3,Great,25,8,3,7
19,38,Stayed,Travel_Rarely,371,Research & Development,2,Bachelor's degree,Life Sciences,1,24,Excellent,Male,45,Great,1,Research Scientist,Excellent,Single,3944,4306,5,Y,Yes,11,Great,Great,80,0,6,3,Great,3,2,1,2
20,24,Stayed,Non-Travel,673,Research & Development,11,College,Other,1,26,Low,Female,96,Excellent,2,Manufacturing Director,Great,Divorced,4011,8232,0,Y,No,18,Great,Excellent,80,1,5,5,Good,4,2,1,3
21,36,Churned,Travel_Rarely,1218,Sales,9,Master's degree,Life Sciences,1,27,Great,Male,82,Good,1,Sales Representative,Low,Single,3407,6986,7,Y,No,23,Excellent,Good,80,0,10,4,Great,5,3,0,3
22,34,Stayed,Travel_Rarely,419,Research & Development,7,Master's degree,Life Sciences,1,28,Low,Female,53,Great,3,Research Director,Good,Single,11994,21293,0,Y,No,11,Great,Great,80,0,13,4,Great,12,6,2,11
23,21,Stayed,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,30,Great,Male,96,Great,1,Research Scientist,Excellent,Single,1232,19281,1,Y,No,14,Great,Excellent,80,0,0,6,Great,0,0,0,0
24,34,Churned,Travel_Rarely,699,Research & Development,6,Below College,Medical,1,31,Good,Male,83,Great,1,Research Scientist,Low,Single,2960,17102,2,Y,No,11,Great,Great,80,0,8,2,Great,4,2,1,3
25,53,Stayed,Travel_Rarely,1282,Research & Development,5,Bachelor's degree,Other,1,32,Great,Female,58,Great,5,Manager,Great,Divorced,19094,10735,4,Y,No,11,Great,Excellent,80,1,26,3,Good,14,13,4,8
26,32,Churned,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,1,33,Good,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Y,Yes,22,Excellent,Good,80,0,10,5,Great,10,2,6,7
27,42,Stayed,Travel_Rarely,691,Sales,8,Master's degree,Marketing,1,35,Great,Male,48,Great,2,Sales Executive,Good,Married,6825,21173,0,Y,No,11,Great,Excellent,80,1,10,2,Great,9,7,4,2
28,44,Stayed,Travel_Rarely,477,Research & Development,7,Master's degree,Medical,1,36,Low,Female,42,Good,3,Healthcare Representative,Excellent,Married,10248,2094,3,Y,No,14,Great,Excellent,80,1,24,4,Great,22,6,5,17
29,46,Stayed,Travel_Rarely,705,Sales,2,Master's degree,Marketing,1,38,Good,Female,83,Great,5,Manager,Low,Single,18947,22822,3,Y,No,12,Great,Excellent,80,0,22,2,Good,2,2,2,1
30,33,Stayed,Travel_Rarely,924,Research & Development,2,Bachelor's degree,Medical,1,39,Great,Male,78,Great,1,Laboratory Technician,Excellent,Single,2496,6670,4,Y,No,11,Great,Excellent,80,0,7,3,Great,1,1,0,0
31,44,Stayed,Travel_Rarely,1459,Research & Development,10,Master's degree,Other,1,40,Excellent,Male,41,Great,2,Healthcare Representative,Excellent,Married,6465,19121,2,Y,Yes,13,Great,Excellent,80,0,9,5,Excellent,4,2,1,3
32,30,Stayed,Travel_Rarely,125,Research & Development,9,College,Medical,1,41,Excellent,Male,83,Good,1,Laboratory Technician,Great,Single,2206,16117,1,Y,No,13,Great,Low,80,0,10,5,Great,10,0,1,8
33,39,Churned,Travel_Rarely,895,Sales,5,Bachelor's degree,Technical Degree,1,42,Excellent,Male,56,Great,2,Sales Representative,Excellent,Married,2086,3335,3,Y,No,14,Great,Great,80,1,19,6,Excellent,1,0,0,0
34,24,Churned,Travel_Rarely,813,Research & Development,1,Bachelor's degree,Medical,1,45,Good,Male,61,Great,1,Research Scientist,Excellent,Married,2293,3020,2,Y,Yes,16,Great,Low,80,1,6,2,Good,2,0,2,0
35,43,Stayed,Travel_Rarely,1273,Research & Development,2,College,Medical,1,46,Excellent,Female,72,Excellent,1,Research Scientist,Great,Divorced,2645,21923,1,Y,No,12,Great,Excellent,80,2,6,3,Good,5,3,1,4
36,50,Churned,Travel_Rarely,869,Sales,3,College,Marketing,1,47,Low,Male,86,Good,1,Sales Representative,Great,Married,2683,3810,1,Y,Yes,14,Great,Great,80,0,3,2,Great,3,2,0,2
37,35,Stayed,Travel_Rarely,890,Sales,2,Bachelor's degree,Marketing,1,49,Excellent,Female,97,Great,1,Sales Representative,Excellent,Married,2014,9687,1,Y,No,13,Great,Low,80,0,2,3,Great,2,2,2,2
38,36,Stayed,Travel_Rarely,852,Research & Development,5,Master's degree,Life Sciences,1,51,Good,Female,82,Good,1,Research Scientist,Low,Married,3419,13072,9,Y,Yes,14,Great,Excellent,80,1,6,3,Excellent,1,1,0,0
39,33,Stayed,Travel_Frequently,1141,Sales,1,Bachelor's degree,Life Sciences,1,52,Great,Female,42,Excellent,2,Sales Executive,Low,Married,5376,3193,2,Y,No,19,Great,Low,80,2,10,3,Great,5,3,1,3
40,35,Stayed,Travel_Rarely,464,Research & Development,4,College,Other,1,53,Great,Male,75,Great,1,Laboratory Technician,Excellent,Divorced,1951,10910,1,Y,No,12,Great,Great,80,1,1,3,Great,1,0,0,0
41,27,Stayed,Travel_Rarely,1240,Research & Development,2,Master's degree,Life Sciences,1,54,Excellent,Female,33,Great,1,Laboratory Technician,Low,Divorced,2341,19715,1,Y,No,13,Great,Excellent,80,1,1,6,Great,1,0,0,0
42,26,Churned,Travel_Rarely,1357,Research & Development,25,Bachelor's degree,Life Sciences,1,55,Low,Male,48,Low,1,Laboratory Technician,Great,Single,2293,10558,1,Y,No,12,Great,Great,80,0,1,2,Good,1,0,0,1
43,27,Stayed,Travel_Frequently,994,Sales,8,Bachelor's degree,Life Sciences,1,56,Excellent,Male,37,Great,3,Sales Executive,Great,Single,8726,2975,1,Y,No,15,Great,Excellent,80,0,9,0,Great,9,8,1,7
44,30,Stayed,Travel_Frequently,721,Research & Development,1,College,Medical,1,57,Great,Female,58,Great,2,Laboratory Technician,Excellent,Single,4011,10781,1,Y,No,23,Excellent,Excellent,80,0,12,2,Great,12,8,3,7
45,41,Churned,Travel_Rarely,1360,Research & Development,12,Bachelor's degree,Technical Degree,1,58,Good,Female,49,Great,5,Research Director,Great,Married,19545,16280,1,Y,No,12,Great,Excellent,80,0,23,0,Great,22,15,15,8
46,34,Stayed,Non-Travel,1065,Sales,23,Master's degree,Marketing,1,60,Good,Male,72,Great,2,Sales Executive,Great,Single,4568,10034,0,Y,No,20,Excellent,Great,80,0,10,2,Great,9,5,8,7
47,37,Stayed,Travel_Rarely,408,Research & Development,19,College,Life Sciences,1,61,Good,Male,73,Great,1,Research Scientist,Good,Married,3022,10227,4,Y,No,21,Excellent,Low,80,0,8,1,Great,1,0,0,0
48,46,Stayed,Travel_Frequently,1211,Sales,5,Master's degree,Marketing,1,62,Low,Male,98,Great,2,Sales Executive,Excellent,Single,5772,20445,4,Y,Yes,21,Excellent,Great,80,0,14,4,Great,9,6,0,8
49,35,Stayed,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,1,63,Excellent,Male,36,Excellent,1,Laboratory Technician,Excellent,Married,2269,4892,1,Y,No,19,Great,Excellent,80,0,1,2,Great,1,0,0,1
50,48,Churned,Travel_Rarely,626,Research & Development,1,College,Life Sciences,1,64,Low,Male,98,Good,3,Laboratory Technician,Great,Single,5381,19294,9,Y,Yes,13,Great,Excellent,80,0,23,2,Great,1,0,0,0
51,28,Churned,Travel_Rarely,1434,Research & Development,5,Master's degree,Technical Degree,1,65,Great,Male,50,Great,1,Laboratory Technician,Great,Single,3441,11179,1,Y,Yes,13,Great,Great,80,0,2,3,Good,2,2,2,2
52,44,Stayed,Travel_Rarely,1488,Sales,1,PhD,Marketing,1,68,Good,Female,75,Great,2,Sales Executive,Low,Divorced,5454,4009,5,Y,Yes,21,Excellent,Great,80,1,9,2,Good,4,3,1,3
53,35,Stayed,Non-Travel,1097,Research & Development,11,College,Medical,1,70,Great,Male,79,Good,3,Healthcare Representative,Low,Married,9884,8302,2,Y,Yes,13,Great,Great,80,1,10,3,Great,4,0,2,3
54,26,Stayed,Travel_Rarely,1443,Sales,23,Bachelor's degree,Marketing,1,72,Great,Female,47,Good,2,Sales Executive,Excellent,Married,4157,21436,7,Y,Yes,19,Great,Great,80,1,5,2,Good,2,2,0,0
55,33,Stayed,Travel_Frequently,515,Research & Development,1,College,Life Sciences,1,73,Low,Female,98,Great,3,Research Director,Excellent,Single,13458,15146,1,Y,Yes,12,Great,Great,80,0,15,1,Great,15,14,8,12
56,35,Stayed,Travel_Frequently,853,Sales,18,PhD,Life Sciences,1,74,Good,Male,71,Great,3,Sales Executive,Low,Married,9069,11031,1,Y,No,22,Excellent,Excellent,80,1,9,3,Good,9,8,1,8
57,35,Stayed,Travel_Rarely,1142,Research & Development,23,Master's degree,Medical,1,75,Great,Female,30,Great,1,Laboratory Technician,Low,Married,4014,16002,3,Y,Yes,15,Great,Great,80,1,4,3,Great,2,2,2,2
58,31,Stayed,Travel_Rarely,655,Research & Development,7,Master's degree,Life Sciences,1,76,Excellent,Male,48,Great,2,Laboratory Technician,Excellent,Divorced,5915,9528,3,Y,No,22,Excellent,Excellent,80,1,10,3,Good,7,7,1,7
59,37,Stayed,Travel_Rarely,1115,Research & Development,1,Master's degree,Life Sciences,1,77,Low,Male,51,Good,2,Manufacturing Director,Great,Divorced,5993,2689,1,Y,No,18,Great,Great,80,1,7,2,Excellent,7,5,0,7
60,32,Stayed,Travel_Rarely,427,Research & Development,1,Bachelor's degree,Medical,1,78,Low,Male,33,Great,2,Manufacturing Director,Excellent,Married,6162,10877,1,Y,Yes,22,Excellent,Good,80,1,9,3,Great,9,8,7,8
61,38,Stayed,Travel_Frequently,653,Research & Development,29,PhD,Life Sciences,1,79,Excellent,Female,50,Great,2,Laboratory Technician,Excellent,Single,2406,5456,1,Y,No,11,Great,Excellent,80,0,10,2,Great,10,3,9,9
62,50,Stayed,Travel_Rarely,989,Research & Development,7,College,Medical,1,80,Good,Female,43,Good,5,Research Director,Great,Divorced,18740,16701,5,Y,Yes,12,Great,Excellent,80,1,29,2,Good,27,3,13,8
63,59,Stayed,Travel_Rarely,1435,Sales,25,Bachelor's degree,Life Sciences,1,81,Low,Female,99,Great,3,Sales Executive,Low,Single,7637,2354,7,Y,No,11,Great,Excellent,80,0,28,3,Good,21,16,7,9
64,36,Stayed,Travel_Rarely,1223,Research & Development,8,Bachelor's degree,Technical Degree,1,83,Great,Female,59,Great,3,Healthcare Representative,Great,Divorced,10096,8202,1,Y,No,13,Great,Good,80,3,17,2,Great,17,14,12,8
65,55,Stayed,Travel_Rarely,836,Research & Development,8,Bachelor's degree,Medical,1,84,Excellent,Female,33,Great,4,Manager,Great,Divorced,14756,19730,2,Y,Yes,14,Great,Great,80,3,21,2,Great,5,0,0,2
66,36,Stayed,Travel_Frequently,1195,Research & Development,11,Bachelor's degree,Life Sciences,1,85,Good,Male,95,Good,2,Manufacturing Director,Good,Single,6499,22656,1,Y,No,13,Great,Great,80,0,6,3,Great,6,5,0,3
67,45,Stayed,Travel_Rarely,1339,Research & Development,7,Bachelor's degree,Life Sciences,1,86,Good,Male,59,Great,3,Research Scientist,Low,Divorced,9724,18787,2,Y,No,17,Great,Great,80,1,25,2,Great,1,0,0,0
68,35,Stayed,Travel_Frequently,664,Research & Development,1,Bachelor's degree,Medical,1,88,Good,Male,79,Great,1,Research Scientist,Low,Married,2194,5868,4,Y,No,13,Great,Excellent,80,1,5,2,Good,3,2,1,2
69,36,Churned,Travel_Rarely,318,Research & Development,9,Bachelor's degree,Medical,1,90,Excellent,Male,79,Good,1,Research Scientist,Great,Married,3388,21777,0,Y,Yes,17,Great,Low,80,1,2,0,Good,1,0,0,0
70,59,Stayed,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,1,91,Low,Female,57,Good,2,Sales Executive,Great,Single,5473,24668,7,Y,No,11,Great,Excellent,80,0,20,2,Good,4,3,1,3
71,29,Stayed,Travel_Rarely,1328,Research & Development,2,Bachelor's degree,Life Sciences,1,94,Great,Male,76,Great,1,Research Scientist,Good,Married,2703,4956,0,Y,No,23,Excellent,Excellent,80,1,6,3,Great,5,4,0,4
72,31,Stayed,Travel_Rarely,1082,Research & Development,1,Master's degree,Medical,1,95,Great,Male,87,Great,1,Research Scientist,Good,Single,2501,18775,1,Y,No,17,Great,Good,80,0,1,4,Great,1,1,1,0
73,32,Stayed,Travel_Rarely,548,Research & Development,1,Bachelor's degree,Life Sciences,1,96,Good,Male,66,Great,2,Research Scientist,Good,Married,6220,7346,1,Y,No,17,Great,Good,80,2,10,3,Great,10,4,0,9
74,36,Stayed,Travel_Rarely,132,Research & Development,6,Bachelor's degree,Life Sciences,1,97,Good,Female,55,Excellent,1,Laboratory Technician,Excellent,Married,3038,22002,3,Y,No,12,Great,Good,80,0,5,3,Great,1,0,0,0
75,31,Stayed,Travel_Rarely,746,Research & Development,8,Master's degree,Life Sciences,1,98,Great,Female,61,Great,2,Manufacturing Director,Excellent,Single,4424,20682,1,Y,No,23,Excellent,Excellent,80,0,11,2,Great,11,7,1,8
76,35,Stayed,Travel_Rarely,776,Sales,1,Master's degree,Marketing,1,100,Great,Male,32,Good,2,Sales Executive,Low,Single,4312,23016,0,Y,No,14,Great,Good,80,0,16,2,Great,15,13,2,8
77,45,Stayed,Travel_Rarely,193,Research & Development,6,Master's degree,Other,1,101,Excellent,Male,52,Great,3,Research Director,Low,Married,13245,15067,4,Y,Yes,14,Great,Good,80,0,17,3,Excellent,0,0,0,0
78,37,Stayed,Travel_Rarely,397,Research & Development,7,Master's degree,Medical,1,102,Low,Male,30,Great,3,Research Director,Great,Single,13664,25258,4,Y,No,13,Great,Low,80,0,16,3,Excellent,5,2,0,2
79,46,Stayed,Travel_Rarely,945,Human Resources,5,College,Medical,1,103,Good,Male,80,Great,2,Human Resources,Good,Divorced,5021,10425,8,Y,Yes,22,Excellent,Excellent,80,1,16,2,Great,4,2,0,2
80,30,Stayed,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,1,104,Excellent,Male,55,Good,2,Laboratory Technician,Excellent,Married,5126,15998,1,Y,Yes,12,Great,Great,80,2,10,1,Good,10,8,3,0
81,35,Stayed,Travel_Rarely,1214,Research & Development,1,Bachelor's degree,Medical,1,105,Good,Male,30,Good,1,Research Scientist,Great,Single,2859,26278,1,Y,No,18,Great,Low,80,0,6,3,Great,6,4,0,4
82,55,Stayed,Travel_Rarely,111,Sales,1,College,Life Sciences,1,106,Low,Male,70,Great,3,Sales Executive,Excellent,Married,10239,18092,3,Y,No,14,Great,Excellent,80,1,24,4,Great,1,0,1,0
83,38,Stayed,Non-Travel,573,Research & Development,6,Bachelor's degree,Medical,1,107,Good,Female,79,Low,2,Research Scientist,Excellent,Divorced,5329,15717,7,Y,Yes,12,Great,Excellent,80,3,17,3,Great,13,11,1,9
84,34,Stayed,Travel_Rarely,1153,Research & Development,1,College,Medical,1,110,Low,Male,94,Great,2,Manufacturing Director,Good,Married,4325,17736,1,Y,No,15,Great,Great,80,0,5,2,Great,5,2,1,3
85,56,Stayed,Travel_Rarely,1400,Research & Development,7,Bachelor's degree,Life Sciences,1,112,Excellent,Male,49,Low,3,Manufacturing Director,Excellent,Single,7260,21698,4,Y,No,11,Great,Low,80,0,37,3,Good,6,4,0,2
86,23,Stayed,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,113,Great,Male,62,Great,1,Sales Representative,Low,Divorced,2322,9518,3,Y,No,13,Great,Great,80,1,3,3,Great,0,0,0,0
87,51,Stayed,Travel_Rarely,432,Research & Development,9,Master's degree,Life Sciences,1,116,Excellent,Male,96,Great,1,Laboratory Technician,Excellent,Married,2075,18725,3,Y,No,23,Excellent,Good,80,2,10,4,Great,4,2,0,3
88,30,Stayed,Travel_Rarely,288,Research & Development,2,Bachelor's degree,Life Sciences,1,117,Great,Male,99,Good,2,Healthcare Representative,Excellent,Married,4152,15830,1,Y,No,19,Great,Low,80,3,11,3,Great,11,10,10,8
89,46,Churned,Travel_Rarely,669,Sales,9,College,Medical,1,118,Great,Male,64,Good,3,Sales Executive,Excellent,Single,9619,13596,1,Y,No,16,Great,Excellent,80,0,9,3,Great,9,8,4,7
90,40,Stayed,Travel_Frequently,530,Research & Development,1,Master's degree,Life Sciences,1,119,Great,Male,78,Good,4,Healthcare Representative,Good,Married,13503,14115,1,Y,No,22,Excellent,Excellent,80,1,22,3,Good,22,3,11,11
91,51,Stayed,Travel_Rarely,632,Sales,21,Master's degree,Marketing,1,120,Great,Male,71,Great,2,Sales Executive,Excellent,Single,5441,8423,0,Y,Yes,22,Excellent,Excellent,80,0,11,2,Low,10,7,1,0
92,30,Stayed,Travel_Rarely,1334,Sales,4,College,Medical,1,121,Great,Female,63,Good,2,Sales Executive,Good,Divorced,5209,19760,1,Y,Yes,12,Great,Good,80,3,11,4,Good,11,8,2,7
93,46,Stayed,Travel_Frequently,638,Research & Development,1,Bachelor's degree,Medical,1,124,Great,Male,40,Good,3,Healthcare Representative,Low,Married,10673,3142,2,Y,Yes,13,Great,Great,80,1,21,5,Good,10,9,9,5
94,32,Stayed,Travel_Rarely,1093,Sales,6,Master's degree,Medical,1,125,Good,Male,87,Great,2,Sales Executive,Great,Single,5010,24301,1,Y,No,16,Great,Low,80,0,12,0,Great,11,8,5,7
95,54,Stayed,Travel_Rarely,1217,Research & Development,2,Master's degree,Technical Degree,1,126,Low,Female,60,Great,3,Research Director,Great,Married,13549,24001,9,Y,No,12,Great,Low,80,1,16,5,Low,4,3,0,3
96,24,Stayed,Travel_Rarely,1353,Sales,3,College,Other,1,128,Low,Female,33,Great,2,Sales Executive,Great,Married,4999,17519,0,Y,No,21,Excellent,Low,80,1,4,2,Good,3,2,0,2
97,28,Stayed,Non-Travel,120,Sales,4,Bachelor's degree,Medical,1,129,Good,Male,43,Great,2,Sales Executive,Great,Married,4221,8863,1,Y,No,15,Great,Good,80,0,5,3,Excellent,5,4,0,4
98,58,Stayed,Travel_Rarely,682,Sales,10,Master's degree,Medical,1,131,Excellent,Male,37,Great,4,Sales Executive,Great,Single,13872,24409,0,Y,No,13,Great,Great,80,0,38,1,Good,37,10,1,8
99,44,Stayed,Non-Travel,489,Research & Development,23,Bachelor's degree,Medical,1,132,Good,Male,67,Great,2,Laboratory Technician,Good,Married,2042,25043,4,Y,No,12,Great,Great,80,1,17,3,Excellent,3,2,1,2
100,37,Churned,Travel_Rarely,807,Human Resources,6,Master's degree,Human Resources,1,133,Great,Male,63,Great,1,Human Resources,Low,Divorced,2073,23648,4,Y,Yes,22,Excellent,Excellent,80,0,7,3,Great,3,2,0,2
101,32,Stayed,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,1,134,Excellent,Male,71,Great,1,Research Scientist,Low,Single,2956,15178,1,Y,No,13,Great,Excellent,80,0,1,2,Great,1,0,0,0
102,20,Churned,Travel_Frequently,871,Research & Development,6,Bachelor's degree,Life Sciences,1,137,Excellent,Female,66,Good,1,Laboratory Technician,Excellent,Single,2926,19783,1,Y,Yes,18,Great,Good,80,0,1,5,Great,1,0,1,0
103,34,Stayed,Travel_Rarely,665,Research & Development,6,Master's degree,Other,1,138,Low,Female,41,Great,2,Research Scientist,Great,Single,4809,12482,1,Y,No,14,Great,Great,80,0,16,3,Great,16,13,2,10
104,37,Stayed,Non-Travel,1040,Research & Development,2,College,Life Sciences,1,139,Great,Male,100,Good,2,Healthcare Representative,Excellent,Divorced,5163,15850,5,Y,No,14,Great,Excellent,80,1,17,2,Excellent,1,0,0,0
105,59,Stayed,Non-Travel,1420,Human Resources,2,Master's degree,Human Resources,1,140,Great,Female,32,Good,5,Manager,Excellent,Married,18844,21922,9,Y,No,21,Excellent,Excellent,80,1,30,3,Great,3,2,2,2
106,50,Stayed,Travel_Frequently,1115,Research & Development,1,Bachelor's degree,Life Sciences,1,141,Low,Female,73,Great,5,Research Director,Good,Married,18172,9755,3,Y,Yes,19,Great,Low,80,0,28,1,Good,8,3,0,7
107,25,Churned,Travel_Rarely,240,Sales,5,Bachelor's degree,Marketing,1,142,Great,Male,46,Good,2,Sales Executive,Great,Single,5744,26959,1,Y,Yes,11,Great,Excellent,80,0,6,1,Great,6,4,0,3
108,25,Stayed,Travel_Rarely,1280,Research & Development,7,Below College,Medical,1,143,Excellent,Male,64,Good,1,Research Scientist,Excellent,Married,2889,26897,1,Y,No,11,Great,Great,80,2,2,2,Great,2,2,2,1
109,22,Stayed,Travel_Rarely,534,Research & Development,15,Bachelor's degree,Medical,1,144,Good,Female,59,Great,1,Laboratory Technician,Excellent,Single,2871,23785,1,Y,No,15,Great,Great,80,0,1,5,Great,0,0,0,0
110,51,Stayed,Travel_Frequently,1456,Research & Development,1,Master's degree,Medical,1,145,Low,Female,30,Good,3,Healthcare Representative,Low,Single,7484,25796,3,Y,No,20,Excellent,Great,80,0,23,1,Good,13,12,12,8
111,34,Churned,Travel_Frequently,658,Research & Development,7,Bachelor's degree,Life Sciences,1,147,Low,Male,66,Low,2,Laboratory Technician,Great,Single,6074,22887,1,Y,Yes,24,Excellent,Excellent,80,0,9,3,Great,9,7,0,6
112,54,Stayed,Non-Travel,142,Human Resources,26,Bachelor's degree,Human Resources,1,148,Excellent,Female,30,Excellent,4,Manager,Excellent,Single,17328,13871,2,Y,Yes,12,Great,Great,80,0,23,3,Great,5,3,4,4
113,24,Stayed,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,1,150,Good,Male,52,Great,1,Laboratory Technician,Great,Married,2774,13257,0,Y,No,12,Great,Great,80,1,6,2,Great,5,3,1,2
114,34,Stayed,Travel_Rarely,1031,Research & Development,6,Master's degree,Life Sciences,1,151,Great,Female,45,Good,2,Research Scientist,Good,Divorced,4505,15000,6,Y,No,15,Great,Great,80,1,12,3,Great,1,0,0,0
115,37,Stayed,Travel_Rarely,1189,Sales,3,Bachelor's degree,Life Sciences,1,152,Great,Male,87,Great,3,Sales Executive,Excellent,Single,7428,14506,2,Y,No,12,Great,Low,80,0,12,3,Great,5,3,1,3
116,34,Stayed,Travel_Rarely,1354,Research & Development,5,Bachelor's degree,Medical,1,153,Great,Female,45,Good,3,Manager,Low,Single,11631,5615,2,Y,No,12,Great,Excellent,80,0,14,6,Great,11,10,5,8
117,36,Stayed,Travel_Frequently,1467,Sales,11,College,Technical Degree,1,154,Good,Female,92,Great,3,Sales Executive,Excellent,Married,9738,22952,0,Y,No,14,Great,Great,80,1,10,6,Great,9,7,2,8
