,Age,Attrition,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MonthlyIncome,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,WorkLifeBalance,YearsAtCompany,raise_category
30,33,Stayed,2,Bachelor's degree,Medical,Great,Male,Great,Excellent,2496,11,Great,Excellent,80,Great,1,10-15%
31,44,Stayed,10,Master's degree,Other,Excellent,Male,Great,Excellent,6465,13,Great,Excellent,80,Excellent,4,10-15%
32,30,Stayed,9,College,Medical,Excellent,Male,Good,Great,2206,13,Great,Low,80,Great,10,10-15%
33,39,Churned,5,Bachelor's degree,Technical Degree,Excellent,Male,Great,Excellent,2086,14,Great,Great,80,Excellent,1,10-15%
34,24,Churned,1,Bachelor's degree,Medical,Good,Male,Great,Excellent,2293,16,Great,Low,80,Good,2,15-20%
35,43,Stayed,2,College,Medical,Excellent,Female,Excellent,Great,2645,12,Great,Excellent,80,Good,5,10-15%
36,50,Churned,3,College,Marketing,Low,Male,Good,Great,2683,14,Great,Great,80,Great,3,10-15%
37,35,Stayed,2,Bachelor's degree,Marketing,Excellent,Female,Great,Excellent,2014,13,Great,Low,80,Great,2,10-15%
38,36,Stayed,5,Master's degree,Life Sciences,Good,Female,Good,Low,3419,14,Great,Excellent,80,Excellent,1,10-15%
39,33,Stayed,1,Bachelor's degree,Life Sciences,Great,Female,Excellent,Low,5376,19,Great,Low,80,Great,5,15-20%
40,35,Stayed,4,College,Other,Great,Male,Great,Excellent,1951,12,Great,Great,80,Great,1,10-15%
41,27,Stayed,2,Master's degree,Life Sciences,Excellent,Female,Great,Low,2341,13,Great,Excellent,80,Great,1,10-15%
42,26,Churned,25,Bachelor's degree,Life Sciences,Low,Male,Low,Great,2293,12,Great,Great,80,Good,1,10-15%
43,27,Stayed,8,Bachelor's degree,Life Sciences,Excellent,Male,Great,Great,8726,15,Great,Excellent,80,Great,9,10-15%
44,30,Stayed,1,College,Medical,Great,Female,Great,Excellent,4011,23,Excellent,Excellent,80,Great,12,20-25%
45,41,Churned,12,Bachelor's degree,Technical Degree,Good,Female,Great,Great,19545,12,Great,Excellent,80,Great,22,10-15%
46,34,Stayed,23,Master's degree,Marketing,Good,Male,Great,Great,4568,20,Excellent,Great,80,Great,9,15-20%
47,37,Stayed,19,College,Life Sciences,Good,Male,Great,Good,3022,21,Excellent,Low,80,Great,1,20-25%
48,46,Stayed,5,Master's degree,Marketing,Low,Male,Great,Excellent,5772,21,Excellent,Great,80,Great,9,20-25%
49,35,Stayed,8,Below College,Life Sciences,Excellent,Male,Excellent,Excellent,2269,19,Great,Excellent,80,Great,1,15-20%
50,48,Churned,1,College,Life Sciences,Low,Male,Good,Great,5381,13,Great,Excellent,80,Great,1,10-15%
51,28,Churned,5,Master's degree,Technical Degree,Great,Male,Great,Great,3441,13,Great,Great,80,Good,2,10-15%
52,44,Stayed,1,PhD,Marketing,Good,Female,Great,Low,5454,21,Excellent,Great,80,Good,4,20-25%
53,35,Stayed,11,College,Medical,Great,Male,Good,Low,9884,13,Great,Great,80,Great,4,10-15%
54,26,Stayed,23,Bachelor's degree,Marketing,Great,Female,Good,Excellent,4157,19,Great,Great,80,Good,2,15-20%
55,33,Stayed,1,College,Life Sciences,Low,Female,Great,Excellent,13458,12,Great,Great,80,Great,15,10-15%
56,35,Stayed,18,PhD,Life Sciences,Good,Male,Great,Low,9069,22,Excellent,Excellent,80,Good,9,20-25%
57,35,Stayed,23,Master's degree,Medical,Great,Female,Great,Low,4014,15,Great,Great,80,Great,2,10-15%
58,31,Stayed,7,Master's degree,Life Sciences,Excellent,Male,Great,Excellent,5915,22,Excellent,Excellent,80,Good,7,20-25%
59,37,Stayed,1,Master's degree,Life Sciences,Low,Male,Good,Great,5993,18,Great,Great,80,Excellent,7,15-20%
60,32,Stayed,1,Bachelor's degree,Medical,Low,Male,Great,Excellent,6162,22,Excellent,Good,80,Great,9,20-25%
61,38,Stayed,29,PhD,Life Sciences,Excellent,Female,Great,Excellent,2406,11,Great,Excellent,80,Great,10,10-15%
62,50,Stayed,7,College,Medical,Good,Female,Good,Great,18740,12,Great,Excellent,80,Good,27,10-15%
63,59,Stayed,25,Bachelor's degree,Life Sciences,Low,Female,Great,Low,7637,11,Great,Excellent,80,Good,21,10-15%
64,36,Stayed,8,Bachelor's degree,Technical Degree,Great,Female,Great,Great,10096,13,Great,Good,80,Great,17,10-15%
65,55,Stayed,8,Bachelor's degree,Medical,Excellent,Female,Great,Great,14756,14,Great,Great,80,Great,5,10-15%
66,36,Stayed,11,Bachelor's degree,Life Sciences,Good,Male,Good,Good,6499,13,Great,Great,80,Great,6,10-15%
67,45,Stayed,7,Bachelor's degree,Life Sciences,Good,Male,Great,Low,9724,17,Great,Great,80,Great,1,15-20%
68,35,Stayed,1,Bachelor's degree,Medical,Good,Male,Great,Low,2194,13,Great,Excellent,80,Good,3,10-15%
69,36,Churned,9,Bachelor's degree,Medical,Excellent,Male,Good,Great,3388,17,Great,Low,80,Good,1,15-20%
70,59,Stayed,1,Below College,Life Sciences,Low,Female,Good,Great,5473,11,Great,Excellent,80,Good,4,10-15%
71,29,Stayed,2,Bachelor's degree,Life Sciences,Great,Male,Great,Good,2703,23,Excellent,Excellent,80,Great,5,20-25%
72,31,Stayed,1,Master's degree,Medical,Great,Male,Great,Good,2501,17,Great,Good,80,Great,1,15-20%
73,32,Stayed,1,Bachelor's degree,Life Sciences,Good,Male,Great,Good,6220,17,Great,Good,80,Great,10,15-20%
74,36,Stayed,6,Bachelor's degree,Life Sciences,Good,Female,Excellent,Excellent,3038,12,Great,Good,80,Great,1,10-15%
75,31,Stayed,8,Master's degree,Life Sciences,Great,Female,Great,Excellent,4424,23,Excellent,Excellent,80,Great,11,20-25%
76,35,Stayed,1,Master's degree,Marketing,Great,Male,Good,Low,4312,14,Great,Good,80,Great,15,10-15%
77,45,Stayed,6,Master's degree,Other,Excellent,Male,Great,Low,13245,14,Great,Good,80,Excellent,0,10-15%
78,37,Stayed,7,Master's degree,Medical,Low,Male,Great,Great,13664,13,Great,Low,80,Excellent,5,10-15%
79,46,Stayed,5,College,Medical,Good,Male,Great,Good,5021,22,Excellent,Excellent,80,Great,4,20-25%
80,30,Stayed,1,Below College,Life Sciences,Excellent,Male,Good,Excellent,5126,12,Great,Great,80,Good,10,10-15%
81,35,Stayed,1,Bachelor's degree,Medical,Good,Male,Good,Great,2859,18,Great,Low,80,Great,6,15-20%
82,55,Stayed,1,College,Life Sciences,Low,Male,Great,Excellent,10239,14,Great,Excellent,80,Great,1,10-15%
83,38,Stayed,6,Bachelor's degree,Medical,Good,Female,Low,Excellent,5329,12,Great,Excellent,80,Great,13,10-15%
84,34,Stayed,1,College,Medical,Low,Male,Great,Good,4325,15,Great,Great,80,Great,5,10-15%
85,56,Stayed,7,Bachelor's degree,Life Sciences,Excellent,Male,Low,Excellent,7260,11,Great,Low,80,Good,6,10-15%
86,23,Stayed,2,Below College,Technical Degree,Great,Male,Great,Low,2322,13,Great,Great,80,Great,0,10-15%
87,51,Stayed,9,Master's degree,Life Sciences,Excellent,Male,Great,Excellent,2075,23,Excellent,Good,80,Great,4,20-25%
88,30,Stayed,2,Bachelor's degree,Life Sciences,Great,Male,Good,Excellent,4152,19,Great,Low,80,Great,11,15-20%
89,46,Churned,9,College,Medical,Great,Male,Good,Excellent,9619,16,Great,Excellent,80,Great,9,15-20%
90,40,Stayed,1,Master's degree,Life Sciences,Great,Male,Good,Good,13503,22,Excellent,Excellent,80,Good,22,20-25%
91,51,Stayed,21,Master's degree,Marketing,Great,Male,Great,Excellent,5441,22,Excellent,Excellent,80,Low,10,20-25%
92,30,Stayed,4,College,Medical,Great,Female,Good,Good,5209,12,Great,Good,80,Good,11,10-15%
93,46,Stayed,1,Bachelor's degree,Medical,Great,Male,Good,Low,10673,13,Great,Great,80,Good,10,10-15%
94,32,Stayed,6,Master's degree,Medical,Good,Male,Great,Great,5010,16,Great,Low,80,Great,11,15-20%
95,54,Stayed,2,Master's degree,Technical Degree,Low,Female,Great,Great,13549,12,Great,Low,80,Low,4,10-15%
96,24,Stayed,3,College,Other,Low,Female,Great,Great,4999,21,Excellent,Low,80,Good,3,20-25%
97,28,Stayed,4,Bachelor's degree,Medical,Good,Male,Great,Great,4221,15,Great,Good,80,Excellent,5,10-15%
98,58,Stayed,10,Master's degree,Medical,Excellent,Male,Great,Great,13872,13,Great,Great,80,Good,37,10-15%
99,44,Stayed,23,Bachelor's degree,Medical,Good,Male,Great,Good,2042,12,Great,Great,80,Excellent,3,10-15%
100,37,Churned,6,Master's degree,Human Resources,Great,Male,Great,Low,2073,22,Excellent,Excellent,80,Great,3,20-25%
101,32,Stayed,1,Below College,Life Sciences,Excellent,Male,Great,Low,2956,13,Great,Excellent,80,Great,1,10-15%
102,20,Churned,6,Bachelor's degree,Life Sciences,Excellent,Female,Good,Excellent,2926,18,Great,Good,80,Great,1,15-20%
103,34,Stayed,6,Master's degree,Other,Low,Female,Great,Great,4809,14,Great,Great,80,Great,16,10-15%
104,37,Stayed,2,College,Life Sciences,Great,Male,Good,Excellent,5163,14,Great,Excellent,80,Excellent,1,10-15%
105,59,Stayed,2,Master's degree,Human Resources,Great,Female,Good,Excellent,18844,21,Excellent,Excellent,80,Great,3,20-25%
106,50,Stayed,1,Bachelor's degree,Life Sciences,Low,Female,Great,Good,18172,19,Great,Low,80,Good,8,15-20%
107,25,Churned,5,Bachelor's degree,Marketing,Great,Male,Good,Great,5744,11,Great,Excellent,80,Great,6,10-15%
108,25,Stayed,7,Below College,Medical,Excellent,Male,Good,Excellent,2889,11,Great,Great,80,Great,2,10-15%
109,22,Stayed,15,Bachelor's degree,Medical,Good,Female,Great,Excellent,2871,15,Great,Great,80,Great,0,10-15%
110,51,Stayed,1,Master's degree,Medical,Low,Female,Good,Low,7484,20,Excellent,Great,80,Good,13,15-20%
111,34,Churned,7,Bachelor's degree,Life Sciences,Low,Male,Low,Great,6074,24,Excellent,Excellent,80,Great,9,20-25%
112,54,Stayed,26,Bachelor's degree,Human Resources,Excellent,Female,Excellent,Excellent,17328,12,Great,Great,80,Great,5,10-15%
113,24,Stayed,18,Below College,Life Sciences,Good,Male,Great,Great,2774,12,Great,Great,80,Great,5,10-15%
114,34,Stayed,6,Master's degree,Life Sciences,Great,Female,Good,Good,4505,15,Great,Great,80,Great,1,10-15%
115,37,Stayed,3,Bachelor's degree,Life Sciences,Great,Male,Great,Excellent,7428,12,Great,Low,80,Great,5,10-15%
116,34,Stayed,5,Bachelor's degree,Medical,Great,Female,Good,Low,11631,12,Great,Excellent,80,Great,11,10-15%
117,36,Stayed,11,College,Technical Degree,Good,Female,Great,Excellent,9738,14,Great,Great,80,Great,9,10-15%
118,36,Stayed,3,College,Life Sciences,Low,Female,Great,Excellent,2835,22,Excellent,Low,80,Great,1,20-25%
119,43,Stayed,26,College,Life Sciences,Great,Male,Great,Excellent,16959,12,Great,Excellent,80,Excellent,25,10-15%
120,30,Stayed,23,Bachelor's degree,Life Sciences,Low,Male,Low,Great,2613,25,Excellent,Great,80,Good,10,20-25%
121,33,Stayed,22,College,Marketing,Great,Male,Great,Good,6146,13,Great,Low,80,Excellent,7,10-15%
122,56,Churned,14,Master's degree,Life Sciences,Good,Female,Great,Good,4963,18,Great,Low,80,Great,5,15-20%
123,51,Stayed,6,Bachelor's degree,Life Sciences,Low,Male,Great,Great,19537,13,Great,Great,80,Great,20,10-15%
124,31,Churned,6,Master's degree,Life Sciences,Good,Male,Low,Great,6172,18,Great,Good,80,Good,7,15-20%
125,26,Stayed,6,Bachelor's degree,Other,Great,Female,Good,Good,2368,19,Great,Great,80,Good,5,15-20%
126,58,Churned,23,Master's degree,Medical,Excellent,Female,Great,Excellent,10312,12,Great,Excellent,80,Good,40,10-15%
127,19,Churned,22,Below College,Marketing,Excellent,Male,Great,Great,1675,19,Great,Excellent,80,Good,0,15-20%
128,22,Stayed,2,Below College,Technical Degree,Great,Male,Great,Excellent,2523,14,Great,Great,80,Great,2,10-15%
129,49,Stayed,20,Master's degree,Medical,Great,Female,Great,Low,6567,14,Great,Great,80,Good,15,10-15%
130,43,Stayed,28,Bachelor's degree,Medical,Good,Female,Excellent,Great,4739,12,Great,Excellent,80,Great,3,10-15%
131,50,Stayed,12,Bachelor's degree,Marketing,Great,Female,Great,Excellent,9208,11,Great,Excellent,80,Great,2,10-15%
132,31,Churned,20,Bachelor's degree,Life Sciences,Good,Female,Low,Great,4559,11,Great,Great,80,Great,2,10-15%
133,41,Stayed,9,Below College,Life Sciences,Great,Male,Great,Great,8189,13,Great,Great,80,Great,9,10-15%
134,26,Stayed,25,Below College,Life Sciences,Great,Female,Great,Great,2942,23,Excellent,Excellent,80,Great,8,20-25%
135,36,Stayed,6,College,Medical,Good,Male,Great,Good,4941,20,Excellent,Excellent,80,Great,3,15-20%
136,51,Churned,8,Master's degree,Life Sciences,Low,Male,Low,Excellent,10650,15,Great,Excellent,80,Great,4,10-15%
137,39,Stayed,4,Master's degree,Life Sciences,Excellent,Female,Good,Great,5902,14,Great,Great,80,Excellent,15,10-15%
138,25,Stayed,28,Bachelor's degree,Life Sciences,Low,Male,Good,Great,8639,18,Great,Excellent,80,Great,2,15-20%
139,30,Stayed,9,Bachelor's degree,Human Resources,Great,Male,Great,Excellent,6347,19,Great,Excellent,80,Low,11,15-20%
140,32,Churned,9,Bachelor's degree,Medical,Low,Female,Great,Low,4200,22,Excellent,Low,80,Excellent,5,20-25%
141,45,Stayed,29,Bachelor's degree,Medical,Great,Male,Great,Excellent,3452,13,Great,Good,80,Good,6,10-15%
142,38,Stayed,3,PhD,Technical Degree,Excellent,Female,Great,Great,4317,20,Excellent,Good,80,Great,3,15-20%
143,30,Stayed,18,Bachelor's degree,Life Sciences,Low,Female,Great,Great,2632,14,Great,Great,80,Good,5,10-15%
144,32,Stayed,9,College,Medical,Excellent,Male,Low,Excellent,4668,17,Great,Excellent,80,Excellent,8,15-20%
145,30,Stayed,5,Bachelor's degree,Technical Degree,Excellent,Female,Great,Low,3204,14,Great,Excellent,80,Great,3,10-15%
146,30,Stayed,2,Below College,Medical,Good,Male,Good,Excellent,2720,13,Great,Excellent,80,Great,5,10-15%
147,41,Stayed,10,Bachelor's degree,Life Sciences,Excellent,Male,Good,Low,17181,13,Great,Good,80,Good,7,10-15%
148,41,Stayed,9,Master's degree,Life Sciences,Great,Male,Great,Low,2238,21,Excellent,Excellent,80,Great,5,20-25%
149,19,Stayed,3,Below College,Medical,Good,Female,Great,Good,1483,14,Great,Excellent,80,Great,1,10-15%
150,40,Stayed,26,Bachelor's degree,Medical,Good,Female,Great,Good,5605,11,Great,Low,80,Great,20,10-15%
151,35,Stayed,1,PhD,Marketing,Great,Male,Great,Good,7295,13,Great,Low,80,Great,10,10-15%
152,53,Stayed,6,College,Marketing,Good,Male,Great,Great,2306,20,Excellent,Excellent,80,Low,7,15-20%
153,45,Stayed,9,Bachelor's degree,Life Sciences,Good,Male,Great,Good,2348,18,Great,Great,80,Low,17,15-20%
154,32,Stayed,8,Bachelor's degree,Marketing,Good,Female,Great,Excellent,8998,14,Great,Excellent,80,Great,9,10-15%
155,29,Stayed,1,Below College,Technical Degree,Excellent,Male,Great,Great,4319,13,Great,Low,80,Great,10,10-15%
156,51,Stayed,7,Master's degree,Medical,Good,Male,Good,Great,6132,17,Great,Great,80,Great,1,15-20%
157,58,Stayed,9,Bachelor's degree,Medical,Good,Female,Good,Good,3346,20,Excellent,Good,80,Good,1,15-20%
158,40,Stayed,4,Master's degree,Marketing,Great,Male,Good,Excellent,10855,11,Great,Low,80,Good,12,10-15%
159,34,Stayed,2,Master's degree,Marketing,Great,Female,Great,Great,2231,18,Great,Excellent,80,Great,4,15-20%
160,22,Stayed,19,Below College,Medical,Great,Male,Great,Excellent,2323,24,Excellent,Low,80,Great,2,20-25%
161,27,Stayed,9,Bachelor's degree,Medical,Excellent,Male,Great,Good,2024,18,Great,Excellent,80,Low,2,15-20%
162,28,Stayed,21,Bachelor's degree,Medical,Great,Male,Great,Excellent,2713,11,Great,Great,80,Low,5,10-15%
163,57,Stayed,24,College,Life Sciences,Great,Male,Excellent,Excellent,9439,16,Great,Good,80,Low,5,15-20%
164,27,Stayed,3,Bachelor's degree,Medical,Great,Male,Good,Great,2566,15,Great,Excellent,80,Good,1,10-15%
165,50,Stayed,11,Bachelor's degree,Life Sciences,Great,Female,Great,Good,19926,15,Great,Good,80,Great,5,10-15%
166,41,Stayed,14,Bachelor's degree,Life Sciences,Low,Male,Great,Great,2451,12,Great,Low,80,Great,9,10-15%
167,30,Stayed,5,Bachelor's degree,Life Sciences,Good,Female,Great,Excellent,9419,12,Great,Great,80,Great,10,10-15%
168,38,Stayed,1,Master's degree,Life Sciences,Low,Female,Good,Excellent,8686,22,Excellent,Great,80,Excellent,8,20-25%
169,32,Stayed,6,PhD,Life Sciences,Great,Male,Great,Great,3038,20,Excellent,Low,80,Great,5,15-20%
170,27,Stayed,17,Bachelor's degree,Technical Degree,Great,Male,Great,Good,3058,16,Great,Excellent,80,Good,5,15-20%
171,19,Churned,1,Below College,Technical Degree,Great,Female,Low,Low,2325,21,Excellent,Low,80,Excellent,0,20-25%
172,36,Stayed,3,College,Medical,Excellent,Male,Great,Good,2088,12,Great,Great,80,Good,8,10-15%
173,30,Stayed,9,Bachelor's degree,Medical,Great,Male,Great,Low,3072,11,Great,Great,80,Great,12,10-15%
174,45,Stayed,4,College,Life Sciences,Great,Female,Great,Low,5006,11,Great,Low,80,Excellent,5,10-15%
175,56,Stayed,8,Bachelor's degree,Life Sciences,Great,Female,Great,Low,4257,18,Great,Great,80,Great,2,15-20%
176,33,Stayed,2,Bachelor's degree,Life Sciences,Great,Male,Great,Excellent,2500,14,Great,Low,80,Excellent,3,10-15%
177,19,Churned,2,Bachelor's degree,Life Sciences,Good,Male,Good,Excellent,1102,22,Excellent,Great,80,Good,1,20-25%
178,46,Stayed,1,College,Marketing,Good,Female,Great,Low,10453,25,Excellent,Great,80,Great,24,20-25%
179,38,Stayed,9,College,Life Sciences,Great,Female,Great,Excellent,2288,12,Great,Great,80,Great,2,10-15%
180,31,Stayed,12,Below College,Medical,Great,Female,Great,Excellent,3929,23,Excellent,Great,80,Great,4,20-25%
181,34,Stayed,27,College,Medical,Excellent,Female,Great,Good,2311,15,Great,Excellent,80,Great,3,10-15%
182,41,Churned,20,College,Marketing,Good,Female,Great,Good,3140,22,Excellent,Excellent,80,Good,4,20-25%
183,50,Stayed,1,Bachelor's degree,Medical,Great,Male,Good,Great,3690,15,Great,Excellent,80,Good,3,10-15%
184,53,Stayed,13,College,Medical,Excellent,Female,Excellent,Low,4450,11,Great,Great,80,Great,4,10-15%
185,33,Stayed,14,Bachelor's degree,Medical,Excellent,Female,Great,Good,2756,13,Great,Excellent,80,Great,8,10-15%
186,40,Stayed,4,Below College,Medical,Excellent,Female,Great,Great,19033,14,Great,Good,80,Great,20,10-15%
187,55,Stayed,14,Master's degree,Medical,Great,Male,Excellent,Good,18722,11,Great,Excellent,80,Great,24,10-15%
188,34,Stayed,2,Below College,Life Sciences,Excellent,Male,Good,Great,9547,17,Great,Great,80,Good,10,15-20%
189,51,Stayed,3,Bachelor's degree,Medical,Excellent,Female,Great,Good,13734,18,Great,Great,80,Great,7,15-20%
190,52,Stayed,1,Master's degree,Life Sciences,Great,Male,Good,Great,19999,14,Great,Low,80,Great,33,10-15%
191,27,Stayed,9,Bachelor's degree,Medical,Excellent,Female,Great,Good,2279,16,Great,Excellent,80,Good,7,15-20%
192,35,Churned,23,College,Life Sciences,Good,Male,Good,Great,5916,13,Great,Low,80,Great,1,10-15%
193,43,Stayed,7,Bachelor's degree,Medical,Excellent,Male,Excellent,Excellent,2089,14,Great,Excellent,80,Excellent,5,10-15%
194,45,Stayed,2,College,Medical,Low,Male,Good,Excellent,16792,23,Excellent,Excellent,80,Great,20,20-25%
195,37,Stayed,21,Bachelor's degree,Life Sciences,Good,Male,Excellent,Low,3564,12,Great,Low,80,Good,8,10-15%
196,35,Stayed,2,Bachelor's degree,Medical,Good,Female,Great,Good,4425,11,Great,Excellent,80,Great,6,10-15%
197,42,Stayed,21,College,Medical,Great,Female,Great,Great,5265,16,Great,Good,80,Great,5,15-20%
198,38,Stayed,2,Master's degree,Life Sciences,Excellent,Male,Great,Great,6553,14,Great,Good,80,Great,1,10-15%
199,38,Stayed,29,Bachelor's degree,Technical Degree,Excellent,Male,Great,Excellent,6261,18,Great,Low,80,Low,7,15-20%
200,27,Stayed,1,Below College,Technical Degree,Great,Male,Good,Low,4298,19,Great,Great,80,Great,2,15-20%
201,49,Stayed,18,Master's degree,Life Sciences,Excellent,Male,Great,Excellent,6804,15,Great,Low,80,Great,7,10-15%
202,34,Stayed,10,Master's degree,Medical,Excellent,Male,Great,Great,3815,17,Great,Excellent,80,Excellent,5,15-20%
203,40,Stayed,19,College,Medical,Great,Male,Great,Excellent,2741,15,Great,Great,80,Excellent,7,10-15%
204,38,Churned,29,Below College,Medical,Good,Male,Great,Low,6673,19,Great,Good,80,Great,1,15-20%
205,29,Churned,27,Bachelor's degree,Marketing,Good,Female,Great,Excellent,7639,22,Excellent,Excellent,80,Good,10,20-25%
206,22,Stayed,5,Bachelor's degree,Life Sciences,Excellent,Male,Excellent,Good,2328,16,Great,Low,80,Good,4,15-20%
207,36,Stayed,18,Below College,Medical,Good,Female,Great,Excellent,2153,13,Great,Low,80,Great,8,10-15%
208,40,Stayed,9,PhD,Life Sciences,Excellent,Male,Good,Excellent,4876,14,Great,Excellent,80,Low,3,10-15%
209,46,Stayed,1,Master's degree,Medical,Excellent,Male,Great,Low,9396,16,Great,Great,80,Great,4,15-20%
210,32,Churned,4,Master's degree,Medical,Excellent,Male,Low,Excellent,10400,11,Great,Great,80,Good,14,10-15%
211,30,Stayed,1,Below College,Life Sciences,Great,Male,Good,Great,8474,22,Excellent,Great,80,Great,11,20-25%
212,27,Stayed,20,Bachelor's degree,Life Sciences,Excellent,Female,Great,Great,9981,14,Great,Excellent,80,Great,7,10-15%
213,51,Stayed,8,Master's degree,Life Sciences,Good,Male,Good,Good,12490,16,Great,Excellent,80,Low,10,15-20%
214,30,Churned,3,Bachelor's degree,Technical Degree,Excellent,Female,Great,Low,2657,11,Great,Great,80,Great,5,10-15%
215,41,Stayed,6,Bachelor's degree,Life Sciences,Excellent,Female,Great,Excellent,13591,18,Great,Great,80,Great,1,15-20%
216,30,Churned,26,Master's degree,Marketing,Great,Female,Good,Low,6696,15,Great,Great,80,Good,6,10-15%
217,29,Churned,1,Bachelor's degree,Technical Degree,Great,Male,Great,Great,2058,14,Great,Excellent,80,Good,6,10-15%
218,45,Stayed,6,Bachelor's degree,Medical,Excellent,Female,Good,Excellent,8865,12,Great,Excellent,80,Great,19,10-15%
219,54,Stayed,3,Bachelor's degree,Marketing,Excellent,Female,Great,Low,5940,14,Great,Excellent,80,Great,6,10-15%
220,36,Stayed,5,College,Life Sciences,Excellent,Male,Great,Good,5914,16,Great,Excellent,80,Excellent,13,15-20%
221,33,Stayed,4,Master's degree,Medical,Great,Female,Good,Good,2622,21,Excellent,Excellent,80,Great,3,20-25%
222,37,Stayed,11,Bachelor's degree,Other,Good,Male,Great,Excellent,12185,14,Great,Great,80,Great,10,10-15%
223,38,Stayed,3,Bachelor's degree,Life Sciences,Low,Male,Great,Great,10609,12,Great,Great,80,Good,16,10-15%
224,31,Stayed,1,Master's degree,Medical,Great,Male,Low,Great,4345,12,Great,Excellent,80,Great,5,10-15%
225,59,Stayed,3,Bachelor's degree,Life Sciences,Great,Male,Good,Excellent,2177,17,Great,Low,80,Great,1,15-20%
226,37,Stayed,4,Master's degree,Marketing,Low,Male,Great,Excellent,2793,17,Great,Great,80,Great,9,15-20%
227,29,Stayed,1,Below College,Medical,Good,Female,Great,Excellent,7918,14,Great,Excellent,80,Great,11,10-15%
